"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-16","2025","03","16","","15.9","","1.9","","8.9","","9.1","","0.0","","","","","","9.4","","","","","M","","M"
"-79.40","43.67","TORONTO CITY","6158355","2025-03-17","2025","03","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-18","2025","03","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-19","2025","03","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-20","2025","03","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-21","2025","03","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-22","2025","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-23","2025","03","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-24","2025","03","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-25","2025","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-26","2025","03","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-27","2025","03","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-28","2025","03","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-29","2025","03","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-30","2025","03","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-03-31","2025","03","31","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-01","2025","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-02","2025","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-03","2025","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-04","2025","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-05","2025","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-06","2025","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-07","2025","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-08","2025","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-09","2025","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-10","2025","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-11","2025","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-12","2025","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-13","2025","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-14","2025","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-15","2025","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-16","2025","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-17","2025","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-18","2025","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-19","2025","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-20","2025","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-21","2025","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-22","2025","04","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-23","2025","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-24","2025","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-25","2025","04","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-26","2025","04","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-27","2025","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-28","2025","04","28","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-29","2025","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-04-30","2025","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-01","2025","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-02","2025","05","02","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-03","2025","05","03","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-04","2025","05","04","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-05","2025","05","05","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-06","2025","05","06","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-07","2025","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-08","2025","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-09","2025","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-10","2025","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-11","2025","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-12","2025","05","12","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-13","2025","05","13","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-14","2025","05","14","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-15","2025","05","15","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-16","2025","05","16","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-17","2025","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-18","2025","05","18","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-19","2025","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-20","2025","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-21","2025","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-22","2025","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-23","2025","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-24","2025","05","24","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-25","2025","05","25","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-26","2025","05","26","","","","","","","","","","","","","","","","","","","","","","",""
"-79.40","43.67","TORONTO CITY","6158355","2025-05-27","2025","05","27","","","","","","","","","","","","","","","","","","","","","","",""
